Turkey,8.23243E+11,823242587456.666
Tuvalu,38320765.12,38320765.1171645
Tanzania,44333456245,44333456244.744
Uganda,24662957836,24662957836.494
Ukraine,1.81334E+11,181334417615.413
Upper middle income,2.08073E+13,20807291594258.2
Uruguay,57531233351,57531233351.2089
United States,1.66632E+13,16663160000000
Uzbekistan,56795656325,56795656324.5823
Saint Vincent and the Grenadines,720636185.2,720636185.185185
Venezuela,3.71337E+11,371336634589.947
British Virgin Islands,,
Virgin Islands (U.S.),,
Vietnam,1.71222E+11,171222025117.381
Vanuatu,801787555.9,801787555.861121
West Bank and Gaza,12476000000,12476000000
World,7.64313E+13,76431318769141.1
Samoa,795753602.5,795753602.492535
Yemen,35954502304,35954502303.5041
South Africa,3.66058E+11,366057913372.207
Democratic Republic of the Congo,30014813756,30014813755.7719
Zambia,28045517946,28045517946.1065
Zimbabwe,13490227100,13490227100
