state,2013,gdp2013,2008,gdp2008
Mali,13245777670,13245777669.8243,9750822511,9750822512
Malta,9642848650,9642848650.1181,8554293727,8554293727
Myanmar,58652652371,58652652370.6565,,
Middle East & North Africa (excluding high income),1.65859E+12,1658590416841.12,1.22931E+12,1.22931E+12
Montenegro,4464497584,4464497583.51479,4519731947,4519731947
Mongolia,12582122604,12582122604.1768,5623216610,5623216610
Northern Mariana Islands,,,,
Mozambique,16018848991,16018848990.669,11494837053,11494837053
Mauritania,5645739652,5645739651.53638,4031047704,4031047704
Mauritius,11931866299,11931866299.2567,9641089805,9641089805
Malawi,5518880769,5518880768.57955,5321012192,5321012192
Malaysia,3.23343E+11,323342854422.546,2.30814E+11,2.30814E+11
North America,1.85062E+13,18506177196716.3,1.62738E+13,1.62738E+13
Namibia,12720433346,12720433346.0298,8486721917,8486721917
New Caledonia,,,,
Niger,7667951988,7667951987.6933,5403363917,5403363917
Nigeria,5.14966E+11,514966287206.505,2.08065E+11,2.08065E+11
Nicaragua,10874735111,10874735110.8237,8491388729,8491388729
Netherlands,8.64169E+11,864169242952.925,9.36228E+11,9.36228E+11
Norway,5.22746E+11,522746212765.957,4.61947E+11,4.61947E+11
Nepal,19271168018,19271168018.482,12545438605,12545438605
Nauru,,,,
New Zealand,1.90691E+11,190690896703.83,1.33279E+11,1.33279E+11
OECD members,4.79183E+13,47918300073277,4.51423E+13,4.51423E+13
Oman,78182574772,78182574772.4317,60905331599,60905331600
Other small states,4.26362E+11,426361822223.396,3.14948E+11,3.14948E+11
Pakistan,2.3115E+11,231149768633.284,1.70078E+11,1.70078E+11
Panama,44856189500,44856189500,24522200000,24522200000
Peru,2.02029E+11,202028936209.368,1.21572E+11,1.21572E+11
Philippines,2.71927E+11,271927428132.554,1.74195E+11,1.74195E+11
Palau,228700000,228700000,198100000,198100000
Papua New Guinea,15413163675,15413163674.9224,8000074071,8000074071
Poland,5.24059E+11,524059039422.894,5.30185E+11,5.30185E+11
Pre-demographic dividend,1.3831E+12,1383102760901.19,7.98863E+11,7.98863E+11
Puerto Rico,1.03135E+11,103134778000,93639316000,93639316000
North Korea,,,,
Portugal,2.26073E+11,226073492966.495,2.62008E+11,2.62008E+11
Paraguay,28965906502,28965906502.2306,18504130753,18504130753
Pacific island small states,8365969512,8365969512.13259,6584689096,6584689096
Post-demographic dividend,4.5515E+13,45515022597436.1,4.29082E+13,4.29082E+13
French Polynesia,,,,
Qatar,2.01885E+11,201885439560.44,1.1527E+11,1.1527E+11
Romania,1.91549E+11,191549024910.604,2.08182E+11,2.08182E+11
Russia,2.23063E+12,2230628062254.41,1.66085E+12,1.66085E+12
Rwanda,7522006198,7522006198.23208,4796573531,4796573531
South Asia,2.36255E+12,2362553805762.67,1.55263E+12,1.55263E+12
Saudi Arabia,7.44336E+11,744335733333.333,5.19797E+11,5.19797E+11
Sudan,66480141187,66480141187.3528,54526580232,54526580232
Senegal,14951667194,14951667193.5471,13386345215,13386345215
Singapore,3.00288E+11,300288499960.042,1.92226E+11,1.92226E+11
Solomon Islands,1059695156,1059695156.18795,608292551.5,608292551.5
Sierra Leone,4958754472,4958754472.42027,2505458705,2505458705
El Salvador,24350900000,24350900000,21431000000,21431000000
San Marino,,,1899879955,1899879956
Somalia,5352000000,5352000000,,
Serbia,45519650911,45519650911.4138,49259526053,49259526053
Sub-Saharan Africa (excluding high income),1.67732E+12,1677324106175.29,1.05913E+12,1.05913E+12
South Sudan,13257635695,13257635694.9153,15550136279,15550136279
Sub-Saharan Africa,1.67874E+12,1678735616972.07,1.0601E+12,1.0601E+12
Small states,5.04038E+11,504038252697.844,3.88025E+11,3.88025E+11
Sao Tome and Principe,305632896.2,305632896.173095,189595284.4,189595284.4
Suriname,5130909091,5130909090.90909,3532969035,3532969035
Slovak Republic,98028544875,98028544875.1992,1.00077E+11,1.00077E+11
Slovenia,47675792660,47675792660.2581,55589863776,55589863776
Sweden,5.78742E+11,578742001487.571,5.13966E+11,5.13966E+11
Swaziland,4562432041,4562432041.09745,3019779209,3019779209
Sint Maarten (Dutch part),,,,
Seychelles,1411061261,1411061260.70839,967199594,967199594
Syria,,,,
Turks and Caicos Islands,,,,
Chad,12949854263,12949854262.8127,10351933632,10351933632
East Asia & Pacific (IDA & IBRD countries),1.17146E+13,11714586302216.9,5.94365E+12,5.94365E+12
Europe & Central Asia (IDA & IBRD countries),4.70054E+12,4700535658585.14,3.86712E+12,3.86712E+12
Togo,4081112865,4081112865.35503,3163416242,3163416242
Thailand,4.19889E+11,419888628523.075,2.91383E+11,2.91383E+11
Tajikistan,8506674783,8506674782.75471,5161298559,5161298559
Turkmenistan,39197543860,39197543859.6491,19271523179,19271523179
Latin America & the Caribbean (IDA & IBRD countries),6.12208E+12,6122083370869.58,4.43451E+12,4.43451E+12
Middle East & North Africa (IDA & IBRD countries),1.64605E+12,1646052738538.63,1.22271E+12,1.22271E+12
East Timor,1319000000,1319000000,694000000,694000000
Tonga,432889959.4,432889959.433327,340041546.5,340041546.5
South Asia (IDA & IBRD),2.36255E+12,2362553805762.67,1.55263E+12,1.55263E+12
Sub-Saharan Africa (IDA & IBRD countries),1.67874E+12,1678735616972.07,1.0601E+12,1.0601E+12
Trinidad and Tobago,27257411604,27257411604.0108,27870257894,27870257894
Tunisia,46255554872,46255554871.6686,44856586316,44856586316
Turkey,8.23243E+11,823242587456.666,7.30337E+11,7.30337E+11
Tuvalu,38320765.12,38320765.1171645,30290219.76,30290219.8
Tanzania,44333456245,44333456244.744,27368386358,27368386358
Uganda,24662957836,24662957836.494,14239026630,14239026630
Ukraine,1.81334E+11,181334417615.413,1.79992E+11,1.79992E+11
Upper middle income,2.08073E+13,20807291594258.2,1.31264E+13,1.31264E+13
Uruguay,57531233351,57531233351.2089,30366213118,30366213118
United States,1.66632E+13,16663160000000,1.47186E+13,1.47186E+13
Uzbekistan,56795656325,56795656324.5823,27934030937,27934030937
Saint Vincent and the Grenadines,720636185.2,720636185.185185,695428851.9,695428851.9
Venezuela,3.71337E+11,371336634589.947,3.156E+11,3.156E+11
British Virgin Islands,,,,
Virgin Islands (U.S.),,,,
Vietnam,1.71222E+11,171222025117.381,99130304099,99130304099
Vanuatu,801787555.9,801787555.861121,607958616.1,607958616.1
West Bank and Gaza,12476000000,12476000000,6673500000,6673500000
World,7.64313E+13,76431318769141.1,6.31286E+13,6.31286E+13
Samoa,795753602.5,795753602.492535,619260721.6,619260721.6
Yemen,35954502304,35954502303.5041,30397203369,30397203369
South Africa,3.66058E+11,366057913372.207,2.8677E+11,2.8677E+11
Democratic Republic of the Congo,30014813756,30014813755.7719,19206060270,19206060270
Zambia,28045517946,28045517946.1065,17910858638,17910858638
Zimbabwe,13490227100,13490227100,4415702800,4415702800
